Accident_Index,year,Junction_Control,Junction_Detail,Accident_Severity,Latitude,Light_Conditions,Carriageway_Hazards,Longitude,Number_of_Casualties,Number_of_Vehicles,Police_Force,Road_Surface_Conditions,Road_Type,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Vehicle_Type,Cities
BS0000002,2024,Give way or uncontrolled,Crossroads,Serious,51.514399,Daylight,None,-0.199248,11,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.457638889,Urban,Fine no high winds,Taxi-Private hire car,Birmingam
BS0000003,2024,Give way or uncontrolled,T or staggered junction,Slight,51.486668,Daylight,None,-0.179599,1,2,Metropolitan Police,Dry,Single carriageway,30,0.596527778,Urban,Fine no high winds,Taxi-Private hire car,Huntville
BS0000004,2024,Auto traffic signal,T or staggered junction,Serious,51.507804,Daylight,None,-0.20311,1,2,Metropolitan Police,Frost or ice,Single carriageway,30,0.340277778,Urban,Other,Motorcycle over 500cc,Mobile
BS0000005,2024,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,0.725694444,Urban,Fine no high winds,Car,Mongomery
BS0000006,2024,Give way or uncontrolled,T or staggered junction,Slight,51.493415,Daylight,None,-0.185525,3,2,Metropolitan Police,Dry,Single carriageway,30,0.491666667,Urban,Fine no high winds,Car,Anchorge
BS0000007,2024,Give way or uncontrolled,T or staggered junction,Serious,51.480177,Daylight,None,-0.178561,1,2,Metropolitan Police,Dry,Single carriageway,30,0.581944444,Urban,Fine no high winds,Motorcycle over 500cc,Annette
BS0000008,2024,Auto traffic signal,Crossroads,Slight,51.491957,Daylight,None,-0.178524,1,1,Metropolitan Police,Dry,Dual carriageway,30,0.554166667,Urban,Fine no high winds,Car,Bethel
BS0000009,2024,Give way or uncontrolled,T or staggered junction,Slight,51.49646,Daylight,None,-0.167395,2,1,Metropolitan Police,Dry,Single carriageway,30,0.510416667,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Bettles
BS0000010,2024,Auto traffic signal,Crossroads,Slight,51.48115,Daylight,None,-0.183275,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.411111111,Urban,Other,Car,Cold Bay
BS0000011,2024,Auto traffic signal,Crossroads,Slight,51.482076,Darkness - lights lit,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,0.00625,Urban,Fine no high winds,Car,Codova
BS0000012,2024,Auto traffic signal,Crossroads,Slight,51.494995,Darkness - lights lit,None,-0.183013,1,1,Metropolitan Police,Dry,Single carriageway,30,0.742361111,Urban,Fine no high winds,Car,Delta Junction/Ft Greely
BS0000013,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.498778,Daylight,None,-0.206779,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.583333333,Urban,Raining no high winds,Car,Farbanks
BS0000014,2024,Give way or uncontrolled,T or staggered junction,Slight,51.506187,Daylight,None,-0.209082,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.34375,Urban,Raining no high winds,Car,Gulkana
BS0000016,2024,Auto traffic signal,Crossroads,Serious,51.482076,Darkness - lights lit,None,-0.173445,1,2,Metropolitan Police,Dry,Single carriageway,30,0.920138889,Urban,Fine no high winds,Car,Hommer
BS0000017,2024,Give way or uncontrolled,Crossroads,Slight,51.488673,Darkness - lights lit,None,-0.169724,1,2,Metropolitan Police,Dry,Single carriageway,30,0.729166667,Urban,Fine no high winds,Van - Goods 3.5 tonnes mgw or under,Iliamna
BS0000018,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.482363,Darkness - lights lit,None,-0.186108,1,1,Metropolitan Police,Dry,Single carriageway,30,0.711805556,Urban,Fine no high winds,Car,Juneu
BS0000019,2024,Give way or uncontrolled,T or staggered junction,Slight,51.49391,Daylight,None,-0.176861,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.602083333,Urban,Fine no high winds,Car,Kenaii
BS0000020,2024,Data missing or out of range,Not at junction or within 20 metres,Slight,51.509296,Darkness - lights lit,None,-0.194837,1,1,Metropolitan Police,Dry,Single carriageway,30,0.019444444,Urban,Fine no high winds,Car,Ketchikn
BS0000021,2024,Give way or uncontrolled,T or staggered junction,Slight,51.50228,Darkness - lights lit,None,-0.188919,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.96875,Urban,Raining no high winds,Car,King Salmon
BS0000022,2024,Give way or uncontrolled,T or staggered junction,Slight,51.507588,Darkness - lights lit,None,-0.194905,1,1,Metropolitan Police,Wet or damp,Single carriageway,30,0.96875,Urban,Raining no high winds,Car,Kodia
BS0000023,2024,Auto traffic signal,Crossroads,Serious,51.488585,Daylight,None,-0.193063,2,2,Metropolitan Police,Dry,Single carriageway,30,0.597222222,Urban,Fine no high winds,Car,Kottzebue
BS0000024,2024,Give way or uncontrolled,T or staggered junction,Slight,51.528344,Daylight,None,-0.217295,1,2,Metropolitan Police,Snow,Single carriageway,30,0.559027778,Urban,Other,Car,Mc Grath
BS0000025,2024,Give way or uncontrolled,T or staggered junction,Slight,51.499201,Darkness - lights lit,None,-0.164404,2,2,Metropolitan Police,Dry,Single carriageway,30,0.9375,Urban,Fine no high winds,Car,Nome
BS0000026,2024,Give way or uncontrolled,T or staggered junction,Serious,51.517081,Daylight,None,-0.204042,2,1,Metropolitan Police,Dry,Single carriageway,30,0.576388889,Urban,Fine no high winds,Car,Northway
BS0000027,2024,Auto traffic signal,Crossroads,Slight,51.48944,Daylight,None,-0.190148,1,1,Metropolitan Police,Dry,Single carriageway,30,0.347222222,Urban,Fine no high winds,Car,Palmer
BS0000028,2024,Give way or uncontrolled,Crossroads,Slight,51.494521,Daylight,None,-0.158397,1,2,Metropolitan Police,Dry,Single carriageway,20,0.502083333,Urban,Fine no high winds,Car,Petersburg
BS0000029,2024,Auto traffic signal,Crossroads,Slight,51.508624,Daylight,None,-0.203799,1,2,Metropolitan Police,Dry,Single carriageway,30,0.659722222,Urban,Fine no high winds,Car,Puntilla Lake
BS0000030,2024,Auto traffic signal,Crossroads,Slight,51.491173,Darkness - lights lit,None,-0.18014,1,2,Metropolitan Police,Wet or damp,Single carriageway,30,0.042361111,Urban,Fine no high winds,Car,Shemya
BS0000031,2024,Give way or uncontrolled,T or staggered junction,Slight,51.495478,Daylight,None,-0.202731,1,1,Metropolitan Police,Wet or damp,One way street,30,0.322916667,Urban,Raining no high winds,Car,Sitka
BS0000032,2024,Auto traffic signal,Crossroads,Serious,51.495658,Daylight,None,-0.173622,1,2,Metropolitan Police,Dry,Single carriageway,30,0.520833333,Urban,Fine no high winds,Car,Skagway
BS0000033,2024,Give way or uncontrolled,T or staggered junction,Slight,51.499727,Daylight,None,-0.163518,1,2,Metropolitan Police,Dry,Dual carriageway,30,0.422222222,Urban,Fine no high winds,Car,sevch
