Traffic Volume,Average Speed,Travel Time Index,Congestion Level,Road Capacity Utilization,Urban_or_Rural_Area,Incident Reports,Environmental Impact,Public Transport Usage,Road condition,Traffic Signal Compliance,Parking Usage,Pedestrian and Cyclist Count,Weather,Roadwork and Construction Activity,Cities
50590,50.23029856,1.5,100,100,Urban,0,151.18,70.6323302,Wet or damp,84.04460047,85.40362889,111,Clear,No,Birmingam
30825,29.37712471,1.5,100,100,Urban,1,111.65,41.9248989,Dry,91.40703846,59.98368911,100,Clear,No,Huntville
7399,54.47439821,1.039068846,28.34799386,36.39652494,Urban,0,64.798,44.66238371,Frost or ice,61.37554084,95.4660201,189,Clear,No,Mobile
60874,43.81761039,1.5,100,100,Urban,1,171.748,32.77312315,Dry,75.54709159,63.56745159,111,Clear,No,Mongomery
57292,41.11676289,1.5,100,100,Urban,3,164.584,35.092601,Dry,64.63476238,93.15517129,104,Clear,No,Anchorge
47848,34.24196255,1.5,100,100,Urban,3,145.696,39.92787129,Dry,61.01676507,55.39457135,94,Overcast,No,Annette
36574,29.98242956,1.5,100,100,Urban,3,123.148,72.47912989,Dry,81.57368968,90.37200776,115,Clear,No,Bethel
25379,38.45517944,1.5,79.03882288,100,Urban,2,100.758,46.31534352,Dry,88.12075836,68.18148012,92,Clear,No,Bettles
25022,35.03937304,1.5,78.97959595,100,Urban,1,100.044,44.26169322,Wet or damp,99.42601816,62.10276358,105,Clear,No,Cold Bay
31760,56.90455626,1.5,97.67246207,100,Urban,1,113.52,12.85425991,Dry,83.63571773,83.87821809,91,Clear,No,Codova
38446,26.14487626,1.5,100,100,Urban,3,126.892,48.86405681,Dry,81.18602313,62.09261455,84,Overcast,No,Delta Junction/Ft Greely
15043,47.96984673,1.35483457,55.74084425,76.63531646,Urban,0,80.086,21.31400999,Wet or damp,95.94216754,80.32145298,105,Clear,No,Farbanks
22050,52.87084604,1.130159879,78.4298281,100,Urban,3,94.1,35.74010621,Wet or damp,70.60809471,62.19948217,115,Fog,No,Gulkana
37877,26.42842444,1.5,100,100,Urban,1,125.754,75.8321009,Dry,98.15714308,95.74321951,96,Overcast,No,Hommer
